element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(10^8 s^-1),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Th,2,"=""386.340573""","=""0.000013""","=""2600""","=""""","=""""",,"=""0.830717224""","=""4.03900208""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f.7s.(1F*).7p""","=""""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,2,"=""386.35930""","=""0.00021""","=""62""","=""""","=""""",,"=""1.915932277""","=""5.12406231""","=""5f.6d.(3D*).7s""","=""4D*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,2,"=""386.41180""","=""0.00021""","=""31""","=""""","=""""",,"=""2.60240434""","=""5.81009626""","=""5f.(2F*).6d2.(1D)""","=""*""","=""9/2""","=""5f.6d.(3G*).7p""","=""""","=""11/2""",10,12,,"=""""","=""L2372""",
Th,2,"=""386.43635""","=""0.00006""","=""78""","=""""","=""""",,"=""1.048950095""","=""4.25643982""","=""6d3""","=""""","=""3/2""","=""6d2.(3F).7p""","=""*""","=""1/2""",4,2,,"=""""","=""L5951""",
Th,1,"=""386.47644""","=""0.00004""","=""120""","=""""","=""""",,"=""2.080931827""","=""5.28808780""","=""5f.6d2.7s""","=""5I*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L5951""",
Th,1,"=""386.48380""","=""0.00004""","=""220""","=""""","=""""",,"=""1.761433209""","=""4.96852940""","=""5f.6d.7s2""","=""3F*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L5951""",
Th,1,"=""386.49692""","=""0.00004""","=""130""","=""""","=""""",,"=""1.920524884""","=""5.12751162""","=""5f.6d.7s2""","=""3G*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,2,"=""386.49930""","=""0.00021""","=""46""","=""""","=""""",,"=""1.803419255""","=""5.01038429""","=""5f.6d.(3D*).7s""","=""4D*""","=""5/2""","=""5f.6d.(1D*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,2,"=""386.60681""","=""0.00004""","=""240""","=""""","=""""",,"=""2.91591271""","=""6.12198817""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,1,"=""386.63751""","=""0.00015""","=""240""","=""""","=""""",,"=""1.966871474""","=""5.17269076""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L3552""",
Th,2,"=""386.66320""","=""0.00021""","=""46""","=""""","=""""",,"=""2.14148626""","=""5.34709295""","=""5f.6d.(3G*).7s""","=""2G*""","=""9/2""","=""5f.6d.(3H*).7p""","=""2I""","=""11/2""",10,12,,"=""""","=""L2372""",
Th,2,"=""386.66571""","=""0.00021""","=""15""","=""""","=""""",,"=""1.599690941""","=""4.80527811""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""","=""5f2.(1D).7s""","=""""","=""3/2""",4,4,,"=""""","=""L2372""",
Th,1,"=""386.67726""","=""0.00006""","=""71""","=""""","=""""",,"=""1.463377110""","=""4.66886858""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""386.68761""","=""0.00021""","=""230""","=""""","=""""",,"=""1.833849400""","=""5.03925537""","=""5f.6d.(3G*).7s""","=""*""","=""7/2""","=""5f2.(3F).6d""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,1,"=""386.690900""","=""0.000022""","=""790""","=""""","=""""",,"=""1.393796936""","=""4.59917509""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""386.70674""","=""0.00006""","=""82""","=""""","=""""",,"=""2.080931827""","=""5.28617796""","=""5f.6d2.7s""","=""5I*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L5951""",
Th,2,"=""386.71971""","=""0.00021""","=""15""","=""""","=""""",,"=""2.640543185""","=""5.84568117""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f.6d.7p""","=""""","=""3/2""",6,4,,"=""""","=""L2372""",
Th,2,"=""386.75785""","=""0.00004""","=""180""","=""""","=""""",,"=""0.868065592""","=""4.07288894""","=""6d3""","=""""","=""3/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""5/2""",4,6,,"=""""","=""L5951""",
Th,2,"=""386.76961""","=""0.00021""","=""15""","=""""","=""""",,"=""3.27621698""","=""6.48094222""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,2,"=""386.78503""","=""0.00004""","=""150""","=""""","=""""",,"=""1.877708160""","=""5.08230647""","=""5f.6d.(3P*).7s""","=""*""","=""3/2""","=""5f.6d.(3F*).7p""","=""""","=""3/2""",4,4,,"=""""","=""L5951""",
Th,2,"=""386.78830""","=""0.00021""","=""30""","=""""","=""""",,"=""1.74840020""","=""4.95296961""","=""5f.6d.(3D*).7s""","=""*""","=""1/2""","=""5f2.(3F).6d""","=""""","=""1/2""",2,2,,"=""""","=""L2372""",
Th,1,"=""386.79752""","=""0.00004""","=""92""","=""""","=""""",,"=""2.233126549""","=""5.43762132""","=""5f.6d2.7s""","=""5H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,1,"=""386.80401""","=""0.00015""","=""250""","=""""","=""""",,"=""1.761433209""","=""4.96587318""","=""5f.6d.7s2""","=""3F*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L3552""",
Th,2,"=""386.81610""","=""0.00021""","=""15""","=""""","=""""",,"=""2.09615116""","=""5.30048927""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L2372""",
Th,1,"=""386.82546""","=""0.00003""","=""260""","=""""","=""""",,"=""1.393796936""","=""4.59806004""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""386.966317""","=""0.000015""","=""2400""","=""""","=""""",,"=""0.7888365657""","=""3.99193347""","=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""386.99708""","=""0.00004""","=""150""","=""""","=""""",,"=""1.345888603""","=""4.54873072""","=""6d3""","=""""","=""7/2""","=""6d2.(3F).7p""","=""*""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,1,"=""387.07631""","=""0.00015""","=""180""","=""""","=""""",,"=""1.592945153""","=""4.79513237""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""387.08910""","=""0.00015""","=""180""","=""""","=""""",,"=""0.6151672932""","=""3.817247465""","=""6d2.7s2""","=""3F""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L3552""",
Th,2,"=""387.09230""","=""0.00021""","=""77""","=""""","=""""",,"=""1.599690941""","=""4.80174462""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""","=""5f.6d.(1D*).7p""","=""""","=""5/2""",4,6,,"=""""","=""L2372""",
Th,2,"=""387.10714""","=""0.00016""","=""53""","=""""","=""""",,"=""1.205163326""","=""4.40709107""","=""5f.6d.(3F*).7s""","=""4F*""","=""7/2""","=""5f2.(3H).6d""","=""4I""","=""9/2""",8,10,,"=""""","=""L12239""",
Th,2,"=""387.11420""","=""0.00021""","=""46""","=""""","=""""",,"=""0.994129208""","=""4.19600196""","=""6d2.(3P).7s""","=""4P""","=""3/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""3/2""",4,4,,"=""""","=""L2372""",
