element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(10^8 s^-1),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Th,1,"=""678.1234""","=""0.0005""","=""19""","=""""","=""""",,"=""2.238363337""","=""4.06620149""","=""6d.7s2.7p""","=""3F*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L3552""",
Th,1,"=""678.1676""","=""0.0005""","=""19""","=""""","=""""",,"=""1.716904709""","=""3.544622612""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
Th,1,"=""678.2464""","=""0.0005""","=""6""","=""""","=""""",,"=""2.739826117""","=""4.56732766""","=""5f.6d.7s.7p""","=""5I""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L12239""",
Th,2,"=""678.4159""","=""0.0006""","=""22""","=""""","=""""",,"=""2.42938984""","=""4.25643982""","=""6d2.(1S).7s""","=""2S""","=""1/2""","=""6d2.(3F).7p""","=""*""","=""1/2""",2,2,,"=""""","=""L2372""",
Th,2,"=""678.4629""","=""0.0006""","=""22""","=""""","=""""",,"=""2.99199112""","=""4.81891507""","=""5f.(2F*).6d2.(3F)""","=""4P*""","=""3/2""","=""5f.6d.(3F*).7p""","=""""","=""1/2""",4,2,,"=""""","=""L2372""",
Th,1,"=""678.47956""","=""0.00010""","=""90""","=""""","=""""",,"=""2.810708039""","=""4.63758699""","=""""","=""*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""678.4929""","=""0.0003""","=""29""","=""""","=""""",,"=""2.360554170""","=""4.18739544""","=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L12239""",
Th,2,"=""678.6363""","=""0.0003""","=""22""","=""""","=""""",,"=""2.246432692""","=""4.07288894""","=""6d3""","=""""","=""3/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""5/2""",4,6,,"=""""","=""L12239""",
Th,1,"=""678.773665""","=""0.000014""","=""1100""","=""""","=""""",,"=""1.761104381""","=""3.587191615""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L18702""",
Th,1,"=""678.8180""","=""0.0005""","=""310""","=""""","=""""",,"=""2.318457821""","=""4.14442487""","=""5f.7s2.7p""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L3552""",
Th,1,"=""678.8343""","=""0.0005""","=""120""","=""""","=""""",,"=""2.240278611""","=""4.06620149""","=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""678.87177""","=""0.00023""","=""42""","=""""","=""""",,"=""2.532190560""","=""4.35801477""","=""6d.7s2.7p""","=""3P*""","=""1""","=""""","=""""","=""2""",3,5,,"=""""","=""L12239""",
Th,1,"=""678.884026""","=""0.000009""","=""1900""","=""""","=""""",,"=""1.388254945""","=""3.214045292""","=""5f.6d.7s2""","=""3H*""","=""5""","=""6d4""","=""3H""","=""4""",11,9,,"=""""","=""L18702""",
Th,1,"=""678.90042""","=""0.00009""","=""99""","=""""","=""""",,"=""2.233126549""","=""4.058872721""","=""5f.6d2.7s""","=""5H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,2,"=""678.9687""","=""0.0006""","=""22""","=""""","=""""",,"=""1.833849400""","=""3.65941030""","=""5f.6d.(3G*).7s""","=""*""","=""7/2""","=""5f2.(3F).7s""","=""""","=""9/2""",8,10,,"=""""","=""L2372""",
Th,1,"=""679.123497""","=""0.000010""","=""1800""","=""""","=""""",,"=""1.0910919079""","=""2.916238418""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L18702""",
Th,2,"=""679.2470""","=""0.0006""","=""22""","=""""","=""""",,"=""3.09742852""","=""4.92224499""","=""5f.(2F*).6d2.(1G)""","=""*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,1,"=""679.2674""","=""0.0003""","=""15""","=""""","=""""",,"=""2.332128677""","=""4.15688760""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L12239""",
Th,1,"=""679.2900""","=""0.0005""","=""92""","=""""","=""""",,"=""2.444104358""","=""4.26880376""","=""6d3.(2F).7s""","=""3F""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""679.3714""","=""0.0003""","=""33""","=""""","=""""",,"=""2.715676522""","=""4.54015709""","=""5f.6d2.7s""","=""5H*""","=""7""","=""""","=""""","=""7""",15,15,,"=""""","=""L12239""",
Th,1,"=""679.4799""","=""0.0003""","=""15""","=""""","=""""",,"=""2.428647391""","=""4.25283683""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L12239""",
Th,1,"=""679.49672""","=""0.00023""","=""45""","=""""","=""""",,"=""2.624137715""","=""4.44828182""","=""5f.6d.7s2""","=""3D*""","=""3""","=""6d4""","=""""","=""2""",7,5,,"=""""","=""L12239""",
Th,1,"=""679.50494""","=""0.00018""","=""120""","=""""","=""""",,"=""2.240278611""","=""4.064400484""","=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L12239""",
Th,1,"=""679.57982""","=""0.00009""","=""110""","=""""","=""""",,"=""1.731131837""","=""3.55505278""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
Th,2,"=""679.67827""","=""0.00018""","=""160""","=""""","=""""",,"=""1.323300499""","=""3.14695730""","=""5f.6d.(3F*).7s""","=""*""","=""5/2""","=""6d3""","=""""","=""3/2""",6,4,,"=""""","=""L12239""",
Th,2,"=""679.7834""","=""0.0005""","=""6""","=""""","=""""",,"=""3.73209853""","=""5.55547593""","=""5f.(2F*).6d2.(1G)""","=""2F*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L12239""",
Th,1,"=""679.84868""","=""0.00005""","=""390""","=""""","=""""",,"=""1.463377110""","=""3.286576628""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""679.87453""","=""0.00014""","=""82""","=""""","=""""",,"=""2.212755599""","=""4.03588578""","=""5f.6d.7s2""","=""3P*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L18702""",
Th,1,"=""680.04645""","=""0.00008""","=""130""","=""""","=""""",,"=""2.169869268""","=""3.992538831""","=""5f.6d2.7s""","=""5I*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,3,"=""680.12575""","=""0.00006""","=""270""","=""""","=""""",,"=""0.39529895""","=""2.21775610""","=""5f.6d""","=""*""","=""4""","=""5f2""","=""3H""","=""5""",9,11,,"=""""","=""L5951""",
Th,1,"=""680.2410""","=""0.0005""","=""18""","=""""","=""""",,"=""2.569497625""","=""4.39164486""","=""""","=""*""","=""0""","=""""","=""""","=""1""",1,3,,"=""""","=""L3552""",
Th,1,"=""680.27855""","=""0.00019""","=""140""","=""""","=""""",,"=""1.622774763""","=""3.444822294""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L12239""",
Th,3,"=""680.29886""","=""0.00007""","=""150""","=""""","=""""",,"=""1.39814588""","=""3.22013907""","=""5f.6d""","=""3G*""","=""5""","=""5f2""","=""1G""","=""4""",11,9,,"=""""","=""L5951""",
Th,1,"=""680.3178""","=""0.0004""","=""9""","=""""","=""""",,"=""3.149838693""","=""4.97178179""","=""5f.6d.7s.7p""","=""5H""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L12239""",
Th,1,"=""680.3304""","=""0.0003""","=""30""","=""""","=""""",,"=""2.307883790""","=""4.12979498""","=""6d2.7s.7p""","=""5D*""","=""1""","=""""","=""""","=""2""",3,5,,"=""""","=""L12239""",
Th,2,"=""680.47382""","=""0.00019""","=""160""","=""""","=""""",,"=""1.599690941""","=""3.42121598""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""","=""5f2.(3F).7s""","=""""","=""5/2""",4,6,,"=""""","=""L12239""",
Th,1,"=""680.54678""","=""0.00019""","=""140""","=""""","=""""",,"=""2.135541319""","=""3.95687075""","=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L12239""",
Th,1,"=""680.57513""","=""0.00007""","=""160""","=""""","=""""",,"=""1.966871474""","=""3.78812550""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L5951""",
Th,1,"=""680.7114""","=""0.0003""","=""22""","=""""","=""""",,"=""2.777171240""","=""4.59806004""","=""5f.6d2.7s""","=""3I*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L12239""",
Th,1,"=""680.73190""","=""0.00007""","=""150""","=""""","=""""",,"=""1.438344449""","=""3.25917875""","=""6d3.(4P).7s""","=""5P""","=""1""","=""6d2.7s.7p""","=""3D*""","=""1""",3,3,,"=""""","=""L5951""",
Th,1,"=""680.7810""","=""0.0004""","=""14""","=""""","=""""",,"=""2.974431955""","=""4.79513237""","=""5f.6d.7s.7p""","=""5F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L12239""",
Th,1,"=""680.91000""","=""0.00004""","=""500""","=""""","=""""",,"=""2.360554170""","=""4.180911947""","=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L5951""",
Th,1,"=""680.93168""","=""0.00003""","=""460""","=""""","=""""",,"=""1.501989980""","=""3.322289894""","=""5f.6d.7s2""","=""1D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L18702""",
Th,1,"=""680.95094""","=""0.00006""","=""200""","=""""","=""""",,"=""1.393796936""","=""3.214045292""","=""5f.6d.7s2""","=""3F*""","=""3""","=""6d4""","=""3H""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""680.96773""","=""0.00007""","=""160""","=""""","=""""",,"=""2.836458818""","=""4.65666228""","=""""","=""*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L5951""",
Th,2,"=""681.05494""","=""0.00005""","=""330""","=""""","=""""",,"=""1.558542626""","=""3.37851302""","=""6d3""","=""""","=""7/2""","=""5f.(2F*).6d2.(3P)""","=""4D*""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""681.1500""","=""0.0004""","=""12""","=""""","=""""",,"=""3.60737787""","=""5.42709480""","=""5f.(2F*).6d2.(1D)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",6,6,,"=""""","=""L12239""",
Th,1,"=""681.1725""","=""0.0005""","=""24""","=""""","=""""",,"=""2.745209091""","=""4.56486477""","=""""","=""*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L3552""",
Th,1,"=""681.19635""","=""0.00023""","=""68""","=""""","=""""",,"=""2.347057245""","=""4.16665018""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L12239""",
Th,1,"=""681.24915""","=""0.00005""","=""370""","=""""","=""""",,"=""3.081045536""","=""4.90049717""","=""""","=""3I*""","=""6""","=""""","=""""","=""5""",13,11,,"=""""","=""L5951""",
Th,2,"=""681.27752""","=""0.00006""","=""290""","=""""","=""""",,"=""1.310766078""","=""3.13014200""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f2.(3H).7s""","=""""","=""9/2""",10,10,,"=""""","=""L5951""",
Th,1,"=""681.29718""","=""0.00023""","=""56""","=""""","=""""",,"=""3.420947469""","=""5.24027231""","=""6d4""","=""3H""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L12239""",
Th,1,"=""681.36126""","=""0.00023""","=""60""","=""""","=""""",,"=""2.010711511""","=""3.82986374""","=""6d.7s2.7p""","=""1D*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L12239""",
Th,1,"=""681.4184""","=""0.0005""","=""12""","=""""","=""""",,"=""2.670569119""","=""4.48956624""","=""""","=""*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L3552""",
Th,1,"=""681.56123""","=""0.00007""","=""170""","=""""","=""""",,"=""1.880456013""","=""3.699074652""","=""6d2.7s.7p""","=""5G*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""681.6246""","=""0.0005""","=""300""","=""""","=""""",,"=""1.920914392""","=""3.73936395""","=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L3552""",
Th,1,"=""681.68281""","=""0.00023""","=""45""","=""""","=""""",,"=""1.716904709""","=""3.53519838""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L12239""",
Th,1,"=""681.7248""","=""0.0005""","=""11""","=""""","=""""",,"=""2.739826117""","=""4.55800651""","=""5f.6d.7s.7p""","=""5I""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L3552""",
Th,1,"=""681.7383""","=""0.0003""","=""19""","=""""","=""""",,"=""2.418081613""","=""4.23622737""","=""6d2.7s.7p""","=""5F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L12239""",
Th,1,"=""681.8531""","=""0.0003""","=""31""","=""""","=""""",,"=""3.783638922""","=""5.60148086""","=""""","=""*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L12239""",
Th,1,"=""681.90056""","=""0.00023""","=""59""","=""""","=""""",,"=""0.9301651190""","=""2.747878354""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L12239""",
Th,1,"=""681.9560""","=""0.0003""","=""34""","=""""","=""""",,"=""1.795523000""","=""3.613089262""","=""5f.6d.7s2""","=""3H*""","=""6""","=""""","=""""","=""5""",13,11,,"=""""","=""L12239""",
Th,1,"=""681.9802""","=""0.0003""","=""26""","=""""","=""""",,"=""2.506331889""","=""4.32383353""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L12239""",
Th,1,"=""682.35086""","=""0.00003""","=""580""","=""""","=""""",,"=""1.648671592""","=""3.465185702""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L18702""",
Th,1,"=""682.3819""","=""0.0003""","=""21""","=""""","=""""",,"=""2.419797174""","=""4.23622737""","=""6d2.7s.7p""","=""5D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L12239""",
Th,1,"=""682.39171""","=""0.00023""","=""53""","=""""","=""""",,"=""2.421710998""","=""4.23811527""","=""6d3.(2F).7s""","=""3F""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L12239""",
Th,1,"=""682.41057""","=""0.00023""","=""43""","=""""","=""""",,"=""2.360554170""","=""4.17690917""","=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L12239""",
Th,1,"=""682.4380""","=""0.0005""","=""5""","=""""","=""""",,"=""2.332128677""","=""4.14841005""","=""6d2.7s.7p""","=""5G*""","=""4""","=""5f.6d.7s.7p""","=""3H""","=""4""",9,9,,"=""""","=""L3552""",
Th,1,"=""682.467741""","=""0.000008""","=""2300""","=""""","=""""",,"=""1.393796936""","=""3.209999907""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L18702""",
Th,1,"=""682.6032""","=""0.0004""","=""15""","=""""","=""""",,"=""3.686462224""","=""5.50230425""","=""""","=""*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L12239""",
Th,1,"=""682.6296""","=""0.0005""","=""2900""","=""""","=""""",,"=""2.747878354""","=""4.56364898""","=""""","=""*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L3552""",
Th,1,"=""682.8213""","=""0.0003""","=""38""","=""""","=""""",,"=""2.240278611""","=""4.05554085""","=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L12239""",
Th,1,"=""682.903537""","=""0.000005""","=""4400""","=""""","=""""",,"=""0.9301651190""","=""2.745209091""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L18702""",
Th,1,"=""682.9212""","=""0.0005""","=""46""","=""""","=""""",,"=""2.116882543""","=""3.93187707""","=""6d3.(4P).7s""","=""""","=""1""","=""""","=""*""","=""1""",3,3,,"=""""","=""L3552""",
Th,1,"=""682.93472""","=""0.00006""","=""290""","=""""","=""""",,"=""1.761433209""","=""3.576394271""","=""5f.6d.7s2""","=""3F*""","=""4""","=""5f.6d.7s.7p""","=""5H""","=""4""",9,9,,"=""""","=""L5951""",
Th,1,"=""683.12532""","=""0.00023""","=""56""","=""""","=""""",,"=""2.347057245""","=""4.16151146""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L12239""",
Th,1,"=""683.1621""","=""0.0005""","=""11""","=""""","=""""",,"=""2.745209091""","=""4.55956340""","=""""","=""*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L3552""",
Th,2,"=""683.2186""","=""0.0003""","=""17""","=""""","=""""",,"=""2.12281038""","=""3.93702026""","=""5f.(2F*).6d2.(1D)""","=""*""","=""3/2""","=""5f.7s.(1F*).7p""","=""""","=""5/2""",4,6,,"=""""","=""L12239""",
Th,2,"=""683.28927""","=""0.00007""","=""150""","=""""","=""""",,"=""1.88987860""","=""3.70389809""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""9/2""","=""5f2.(3F).7s""","=""""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,1,"=""683.33787""","=""0.00023""","=""45""","=""""","=""""",,"=""2.158716703""","=""3.97260668""","=""6d.7s2.7p""","=""3D*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L12239""",
Th,1,"=""683.3697""","=""0.0005""","=""17""","=""""","=""""",,"=""2.683744315""","=""4.49754941""","=""6d3.(2G).7s""","=""""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L3552""",
Th,1,"=""683.4585""","=""0.0005""","=""5""","=""""","=""""",,"=""2.457017414""","=""4.27058592""","=""6d2.7s.7p""","=""5P*""","=""1""","=""""","=""""","=""2""",3,5,,"=""""","=""L3552""",
Th,1,"=""683.4780""","=""0.0005""","=""28""","=""""","=""""",,"=""2.544492306""","=""4.35801477""","=""6d2.7s.7p""","=""3F*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L3552""",
Th,1,"=""683.492448""","=""0.000004""","=""9800""","=""""","=""""",,"=""0.6151672932""","=""2.428647391""","=""6d2.7s2""","=""3F""","=""4""","=""6d2.7s.7p""","=""5G*""","=""5""",9,11,,"=""""","=""L18702""",
Th,1,"=""683.50602""","=""0.00004""","=""210""","=""""","=""""",,"=""1.472664364""","=""3.28610875""","=""6d.7s2.7p""","=""3D*""","=""1""","=""6d3.(2D1).7s""","=""1D""","=""2""",3,5,,"=""""","=""L18702""",
Th,1,"=""683.59134""","=""0.00011""","=""72""","=""""","=""""",,"=""2.026726250""","=""3.839943932""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L5951""",
Th,1,"=""683.6198""","=""0.0004""","=""14""","=""""","=""""",,"=""2.855726329""","=""4.66886858""","=""5f.7s2.7p""","=""3G""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L12239""",
Th,1,"=""683.6651""","=""0.0005""","=""17""","=""""","=""""",,"=""2.790642114""","=""4.60366325""","=""6d2.7s.7p""","=""5P*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L3552""",
Th,1,"=""683.6879""","=""0.0003""","=""28""","=""""","=""""",,"=""2.532190560""","=""4.34515286""","=""6d.7s2.7p""","=""3P*""","=""1""","=""""","=""5F""","=""1""",3,3,,"=""""","=""L12239""",
Th,1,"=""683.74965""","=""0.00008""","=""130""","=""""","=""""",,"=""2.519639824""","=""4.332437548""","=""5f.6d.7s2""","=""1H*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L5951""",
Th,1,"=""683.8902""","=""0.0005""","=""46""","=""""","=""""",,"=""2.747878354""","=""4.56030166""","=""""","=""*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L3552""",
Th,1,"=""683.8979""","=""0.0005""","=""11""","=""""","=""""",,"=""2.026726250""","=""3.839127800""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L3552""",
Th,1,"=""683.92949""","=""0.00008""","=""110""","=""""","=""""",,"=""1.728997759""","=""3.541319107""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""684.0899""","=""0.0005""","=""10""","=""""","=""""",,"=""2.674963685""","=""4.48685800""","=""6d3.(2P).7s""","=""""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L3552""",
Th,1,"=""684.1690""","=""0.0005""","=""54""","=""""","=""""",,"=""2.747878354""","=""4.55956340""","=""""","=""*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L3552""",
Th,1,"=""684.1962""","=""0.0005""","=""43""","=""""","=""""",,"=""2.285237890""","=""4.09685041""","=""5f.7s2.7p""","=""3G""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""684.27341""","=""0.00014""","=""190""","=""""","=""""",,"=""0.902620242""","=""2.714030537""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L12239""",
Th,1,"=""684.3556""","=""0.0005""","=""16""","=""""","=""""",,"=""2.332128677""","=""4.14331890""","=""6d2.7s.7p""","=""5G*""","=""4""","=""6d4""","=""""","=""4""",9,9,,"=""""","=""L3552""",
Th,2,"=""684.5132""","=""0.0007""","=""24""","=""""","=""""",,"=""3.033123450""","=""4.84390016""","=""5f.(2F*).6d2.(3F)""","=""4P*""","=""5/2""","=""5f2.(3F).6d""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,1,"=""684.5379""","=""0.0003""","=""25""","=""""","=""""",,"=""3.235613756""","=""5.04632363""","=""""","=""*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L12239""",
Th,2,"=""684.5867""","=""0.0003""","=""40""","=""""","=""""",,"=""1.286847256""","=""3.09742852""","=""6d2.(1G).7s""","=""""","=""9/2""","=""5f.(2F*).6d2.(1G)""","=""*""","=""7/2""",10,8,,"=""""","=""L12239""",
Th,1,"=""684.64790""","=""0.00004""","=""370""","=""""","=""""",,"=""1.472664364""","=""3.28308397""","=""6d.7s2.7p""","=""3D*""","=""1""","=""6d4""","=""""","=""0""",3,1,,"=""""","=""L18702""",
Th,1,"=""684.66135""","=""0.00010""","=""85""","=""""","=""""",,"=""2.158716703""","=""3.969100925""","=""6d.7s2.7p""","=""3D*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""684.7526""","=""0.0004""","=""11""","=""""","=""""",,"=""1.592945153""","=""3.40308647""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L12239""",
Th,1,"=""684.7619""","=""0.0003""","=""16""","=""""","=""""",,"=""2.89569723""","=""4.70581587""","=""6d4""","=""5D""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L12239""",
Th,1,"=""684.7996""","=""0.0004""","=""8""","=""""","=""""",,"=""2.332128677""","=""4.14214662""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L12239""",
Th,1,"=""684.8279""","=""0.0005""","=""10""","=""""","=""""",,"=""2.695174721""","=""4.50511497""","=""5f.6d2.7s""","=""5G*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L3552""",
Th,1,"=""684.8697""","=""0.0005""","=""16""","=""""","=""""",,"=""2.347057245""","=""4.15688760""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L3552""",
Th,1,"=""685.0111""","=""0.0005""","=""43""","=""""","=""""",,"=""2.677398258""","=""4.48685800""","=""6d3.(2F).7s""","=""1F""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L3552""",
Th,2,"=""685.05389""","=""0.00023""","=""46""","=""""","=""""",,"=""2.229655470""","=""4.03900208""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f.7s.(1F*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L12239""",
Th,1,"=""685.06938""","=""0.00023""","=""69""","=""""","=""""",,"=""3.664045428""","=""5.47335169""","=""5f.6d.7s.7p""","=""5H""","=""6""","=""""","=""*""","=""6""",13,13,,"=""""","=""L12239""",
Th,2,"=""685.1210""","=""0.0007""","=""24""","=""""","=""""",,"=""2.81263698""","=""4.62180498""","=""5f.(2F*).6d2.(3F)""","=""4G*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""7/2""",8,8,,"=""""","=""L2372""",
Th,1,"=""685.2099""","=""0.0005""","=""5""","=""""","=""""",,"=""2.621450226""","=""4.43038363""","=""6d3.(2H).7s""","=""1H""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L3552""",
Th,1,"=""685.23545""","=""0.00008""","=""160""","=""""","=""""",,"=""1.880456013""","=""3.689323229""","=""6d2.7s.7p""","=""5G*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""685.35238""","=""0.00004""","=""420""","=""""","=""""",,"=""2.052464528""","=""3.86102319""","=""6d3.(2H).7s""","=""3H""","=""6""","=""""","=""*""","=""5""",13,11,,"=""""","=""L18702""",
Th,1,"=""685.410890""","=""0.000019""","=""870""","=""""","=""""",,"=""1.622774763""","=""3.43117903""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L18702""",
Th,1,"=""685.42497""","=""0.00010""","=""75""","=""""","=""""",,"=""2.947089041""","=""4.75545605""","=""5f.6d.7s.7p""","=""5F""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
Th,2,"=""685.45128""","=""0.00008""","=""120""","=""""","=""""",,"=""1.345888603""","=""3.15418677""","=""6d3""","=""""","=""7/2""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,1,"=""685.4870""","=""0.0003""","=""20""","=""""","=""""",,"=""3.237632718""","=""5.04583596""","=""""","=""*""","=""2""","=""""","=""""","=""2 or 3""",5,5,,"=""""","=""L12239""",
Th,1,"=""685.53150""","=""0.00005""","=""450""","=""""","=""""",,"=""1.980039530""","=""3.78812550""","=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""685.56891""","=""0.00007""","=""200""","=""""","=""""",,"=""1.622774763""","=""3.430762016""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""685.7418""","=""0.0004""","=""8""","=""""","=""""",,"=""2.634986930""","=""4.44251365""","=""""","=""*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L12239""",
